srcStateName,srcDistrictName,District and Taluk Court Case type,Pending cases for a period of 0 to 1 Years,Pending cases for a period of 1 to 3 Years,Pending cases for a period of 3 to 5 Years,Pending cases for a period of 5 to 10 Years,Pending cases for a period of 10 to 20 Years,Pending cases for a period of 20 to 30 Years,Pending cases over 30 Years,Pending cases,Original pending cases,Pending Appeal cases,Pending Application cases,Pending Execution cases,Cases pending at Appearance or Service-Related stage,Cases pending at Compliance or Steps or stay stage,Cases pending at Evidence or Argument or Judgement stage,Cases pending at Pleadings or Issues or Charge stage,Cases instituted in last month,Cases disposed in last month,Cases filed by Senior Citizens,Cases filed by women,Cases delayed in disposal,srcYear,As on Date,YearCode,Year
Haryana,Karnal,Civil,10649,8733,4810,2208,38,0,0,26438,20241,2311,1454,2432,9899,1545,12841,2151,116,4,3667,2728,2258,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Haryana,Karnal,Criminal,18889,16880,7438,3447,43,0,0,46697,42333,2245,2119,0,22737,394,20701,2831,4003,1405,964,1563,2512,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Haryana,Karnal,Total,29538,25613,12248,5655,81,0,0,73135,62574,4556,3573,2432,32636,1939,33542,4982,4119,1409,4631,4291,4770,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Haryana,Sirsa,Civil,6246,4778,2012,691,27,1,1,13756,10778,1137,598,1243,4017,1347,6865,1527,82,19,2669,1597,6171,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Haryana,Sirsa,Criminal,12162,8776,5046,1459,26,1,1,27471,23902,1056,2513,0,10723,468,14793,1486,2474,1884,743,1917,15167,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Haryana,Sirsa,Total,18408,13554,7058,2150,53,2,2,41227,34680,2193,3111,1243,14740,1815,21658,3013,2556,1903,3412,3514,21338,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Haryana,Ambala,Civil,8279,6986,3868,2574,50,0,0,21757,15479,1642,1163,3473,8648,1816,8965,2328,90,4,4932,3018,10272,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Haryana,Ambala,Criminal,16459,16092,6606,3045,24,1,0,42227,37766,1324,3137,0,24784,362,15522,1479,1804,983,1251,2256,18943,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Haryana,Ambala,Total,24738,23078,10474,5619,74,1,0,63984,53245,2966,4300,3473,33432,2178,24487,3807,1894,987,6183,5274,29215,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Haryana,Bhiwani,Civil,12018,9438,5804,3154,35,0,0,30449,20929,2736,2065,4719,11783,2325,12994,3344,138,5,6015,4241,10000,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Karnataka,YADGIR,Total,12870,5522,2962,1871,75,2,0,23302,16612,768,4444,1478,12632,1107,7637,1283,2232,652,1970,1950,10372,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Haryana,Bhiwani,Criminal,13122,11404,7343,3378,14,0,0,35261,30407,1771,3083,0,11923,702,20199,2410,1377,1223,834,2365,11284,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Haryana,Bhiwani,Total,25140,20842,13147,6532,49,0,0,65710,51336,4507,5148,4719,23706,3027,33193,5754,1515,1228,6849,6606,21284,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Haryana,Faridabad,Civil,13250,11409,6648,3890,53,3,2,35255,24531,1544,2351,6829,17553,1803,11256,4643,145,10,4147,4565,17060,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Haryana,Faridabad,Criminal,35538,29816,16118,6390,269,6,0,88137,80711,1875,5551,0,55575,761,25439,6357,3174,3122,1689,4578,45526,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Haryana,Faridabad,Total,48788,41225,22766,10280,322,9,2,123392,105242,3419,7902,6829,73128,2564,36695,11000,3319,3132,5836,9143,62586,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Haryana,Gurugram,Civil,16619,13384,8990,6235,1447,3,0,46678,32263,3212,3105,8098,19790,4753,16570,5560,127,18,4243,2988,26380,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Haryana,Gurugram,Criminal,130743,90321,62077,19974,387,0,0,303502,292923,4488,6091,0,207411,3482,54259,38221,8735,14070,1801,1639,216902,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
